id,quota_full,screenout,household_net_income,age,equality_first,person_a_first,case_order_equality,case_order_inequality,overview_page_order,need_type_combinations,allocation_a_equal_0,need_a_equal_0,productivity_a_equal_0,needtype_a_equal_0,allocation_b_equal_0,need_b_equal_0,productivity_b_equal_0,needtype_b_equal_0,allocation_a_equal_1,need_a_equal_1,productivity_a_equal_1,needtype_a_equal_1,allocation_b_equal_1,need_b_equal_1,productivity_b_equal_1,needtype_b_equal_1,allocation_a_equal_2,need_a_equal_2,productivity_a_equal_2,needtype_a_equal_2,allocation_b_equal_2,need_b_equal_2,productivity_b_equal_2,needtype_b_equal_2,allocation_a_equal_3,need_a_equal_3,productivity_a_equal_3,needtype_a_equal_3,allocation_b_equal_3,need_b_equal_3,productivity_b_equal_3,needtype_b_equal_3,allocation_a_equal_4,need_a_equal_4,productivity_a_equal_4,needtype_a_equal_4,allocation_b_equal_4,need_b_equal_4,productivity_b_equal_4,needtype_b_equal_4,allocation_a_equal_5,need_a_equal_5,productivity_a_equal_5,needtype_a_equal_5,allocation_b_equal_5,need_b_equal_5,productivity_b_equal_5,needtype_b_equal_5,allocation_a_equal_6,need_a_equal_6,productivity_a_equal_6,needtype_a_equal_6,allocation_b_equal_6,need_b_equal_6,productivity_b_equal_6,needtype_b_equal_6,allocation_a_equal_7,need_a_equal_7,productivity_a_equal_7,needtype_a_equal_7,allocation_b_equal_7,need_b_equal_7,productivity_b_equal_7,needtype_b_equal_7,allocation_a_equal_8,need_a_equal_8,productivity_a_equal_8,needtype_a_equal_8,allocation_b_equal_8,need_b_equal_8,productivity_b_equal_8,needtype_b_equal_8,allocation_a_equal_9,need_a_equal_9,productivity_a_equal_9,needtype_a_equal_9,allocation_b_equal_9,need_b_equal_9,productivity_b_equal_9,needtype_b_equal_9,allocation_a_unequal_0,need_a_unequal_0,productivity_a_unequal_0,needtype_a_unequal_0,allocation_b_unequal_0,need_b_unequal_0,productivity_b_unequal_0,needtype_b_unequal_0,allocation_a_unequal_1,need_a_unequal_1,productivity_a_unequal_1,needtype_a_unequal_1,allocation_b_unequal_1,need_b_unequal_1,productivity_b_unequal_1,needtype_b_unequal_1,allocation_a_unequal_2,need_a_unequal_2,productivity_a_unequal_2,needtype_a_unequal_2,allocation_b_unequal_2,need_b_unequal_2,productivity_b_unequal_2,needtype_b_unequal_2,allocation_a_unequal_3,need_a_unequal_3,productivity_a_unequal_3,needtype_a_unequal_3,allocation_b_unequal_3,need_b_unequal_3,productivity_b_unequal_3,needtype_b_unequal_3,allocation_a_unequal_4,need_a_unequal_4,productivity_a_unequal_4,needtype_a_unequal_4,allocation_b_unequal_4,need_b_unequal_4,productivity_b_unequal_4,needtype_b_unequal_4,allocation_a_unequal_5,need_a_unequal_5,productivity_a_unequal_5,needtype_a_unequal_5,allocation_b_unequal_5,need_b_unequal_5,productivity_b_unequal_5,needtype_b_unequal_5,allocation_a_unequal_6,need_a_unequal_6,productivity_a_unequal_6,needtype_a_unequal_6,allocation_b_unequal_6,need_b_unequal_6,productivity_b_unequal_6,needtype_b_unequal_6,allocation_a_unequal_7,need_a_unequal_7,productivity_a_unequal_7,needtype_a_unequal_7,allocation_b_unequal_7,need_b_unequal_7,productivity_b_unequal_7,needtype_b_unequal_7,allocation_a_unequal_8,need_a_unequal_8,productivity_a_unequal_8,needtype_a_unequal_8,allocation_b_unequal_8,need_b_unequal_8,productivity_b_unequal_8,needtype_b_unequal_8,allocation_a_unequal_9,need_a_unequal_9,productivity_a_unequal_9,needtype_a_unequal_9,allocation_b_unequal_9,need_b_unequal_9,productivity_b_unequal_9,needtype_b_unequal_9,criteria_likert_need,criteria_likert_productivity,criteria_likert_equality,checker_justice,checker_winter,checker_house,checker_drinking,checker_mill,checker_wheat,checker_rye,checker_sunflowers,checker_amount,number_of_quality_fails,quality_fail,political_attitude,sensitivity_to_cold,dropout,complete,complete_quota_full,gender,frame
1,0,0,0,0,1,1,2 4 1 6 3 8 5,3 4 6 5 2 8 1,4 2 3 1,"1,1 1,2 1,3 1,4 2,2 2,3 2,4 3,3 3,4 4,4",,1000,500,survival,,1000,500,survival,,1000,500,survival,,1000,500,decency,,1000,500,survival,,1000,500,belonging,,1000,500,survival,,1000,500,autonomy,,1000,500,decency,,1000,500,decency,,1000,500,decency,,1000,500,belonging,,1000,500,decency,,1000,500,autonomy,,1000,500,belonging,,1000,500,belonging,,1000,500,belonging,,1000,500,autonomy,,1000,500,autonomy,,1000,500,autonomy,,1000,200,survival,,1000,800,survival,,1000,200,survival,,1000,800,decency,,1000,200,survival,,1000,800,belonging,,1000,200,survival,,1000,800,autonomy,,1000,200,decency,,1000,800,decency,,1000,200,decency,,1000,800,belonging,,1000,200,decency,,1000,800,autonomy,,1000,200,belonging,,1000,800,belonging,,1000,200,belonging,,1000,800,autonomy,,1000,200,autonomy,,1000,800,autonomy,,,,.,,,,,,,,,0,0,,,1,0,0,,
2,0,0,0,0,1,1,5 4 3 1 2 6 8,8 2 3 4 1 5 6,4 1 3 2,"1,1 1,2 1,3 1,4 2,2 2,3 2,4 3,3 3,4 4,4",,1000,500,survival,,1000,500,survival,,1000,500,survival,,1000,500,decency,,1000,500,survival,,1000,500,belonging,,1000,500,survival,,1000,500,autonomy,,1000,500,decency,,1000,500,decency,,1000,500,decency,,1000,500,belonging,,1000,500,decency,,1000,500,autonomy,,1000,500,belonging,,1000,500,belonging,,1000,500,belonging,,1000,500,autonomy,,1000,500,autonomy,,1000,500,autonomy,,1000,200,survival,,1000,800,survival,,1000,200,survival,,1000,800,decency,,1000,200,survival,,1000,800,belonging,,1000,200,survival,,1000,800,autonomy,,1000,200,decency,,1000,800,decency,,1000,200,decency,,1000,800,belonging,,1000,200,decency,,1000,800,autonomy,,1000,200,belonging,,1000,800,belonging,,1000,200,belonging,,1000,800,autonomy,,1000,200,autonomy,,1000,800,autonomy,,,,.,,,,,,,,,0,0,,,1,0,0,,
3,0,0,4500,36,0,1,1 0 5 8 6 2 3,0 2 6 3 5 1 8,2 4 1 3,"1,1 1,2 1,3 1,4 2,2 2,3 2,4 3,3 3,4 4,4",500,1000,500,survival,500,1000,500,survival,500,1000,500,survival,500,1000,500,decency,500,1000,500,survival,500,1000,500,belonging,500,1000,500,survival,500,1000,500,autonomy,,1000,500,decency,,1000,500,decency,500,1000,500,decency,500,1000,500,belonging,500,1000,500,decency,500,1000,500,autonomy,,1000,500,belonging,,1000,500,belonging,500,1000,500,belonging,500,1000,500,autonomy,,1000,500,autonomy,,1000,500,autonomy,500,1000,200,survival,500,1000,800,survival,500,1000,200,survival,500,1000,800,decency,500,1000,200,survival,500,1000,800,belonging,500,1000,200,survival,500,1000,800,autonomy,,1000,200,decency,,1000,800,decency,500,1000,200,decency,500,1000,800,belonging,500,1000,200,decency,500,1000,800,autonomy,,1000,200,belonging,,1000,800,belonging,500,1000,200,belonging,500,1000,800,autonomy,,1000,200,autonomy,,1000,800,autonomy,7,1,7,42,1,0,0,0,0,0,0,1000,0,0,4,7,0,1,0,3,1
4,0,0,1250,58,0,0,5 2 1 6 8 9 3,2 6 9 8 3 5 1,1 4 2 3,"1,1 1,2 1,3 1,4 2,2 2,3 2,4 3,3 3,4 4,4",,1000,500,survival,,1000,500,survival,600,1000,500,survival,400,1000,500,decency,750,1000,500,survival,250,1000,500,belonging,750,1000,500,survival,250,1000,500,autonomy,,1000,500,decency,,1000,500,decency,750,1000,500,decency,250,1000,500,belonging,750,1000,500,decency,250,1000,500,autonomy,,1000,500,belonging,,1000,500,belonging,500,1000,500,belonging,500,1000,500,autonomy,500,1000,500,autonomy,500,1000,500,autonomy,,1000,200,survival,,1000,800,survival,600,1000,200,survival,400,1000,800,decency,800,1000,200,survival,200,1000,800,belonging,800,1000,200,survival,200,1000,800,autonomy,,1000,200,decency,,1000,800,decency,750,1000,200,decency,250,1000,800,belonging,800,1000,200,decency,200,1000,800,autonomy,,1000,200,belonging,,1000,800,belonging,650,1000,200,belonging,350,1000,800,autonomy,500,1000,200,autonomy,500,1000,800,autonomy,7,1,4,42,1,0,0,0,0,0,0,1000,0,0,2,7,0,1,0,3,2
5,0,0,3900,63,1,0,5 2 8 1 6 3 0,6 8 1 0 5 2 3,3 1 4 2,"1,1 1,2 1,3 1,4 2,2 2,3 2,4 3,3 3,4 4,4",500,1000,500,survival,500,1000,500,survival,800,1000,500,survival,200,1000,500,decency,800,1000,500,survival,200,1000,500,belonging,900,1000,500,survival,100,1000,500,autonomy,,1000,500,decency,,1000,500,decency,500,1000,500,decency,500,1000,500,belonging,800,1000,500,decency,200,1000,500,autonomy,,1000,500,belonging,,1000,500,belonging,700,1000,500,belonging,300,1000,500,autonomy,,1000,500,autonomy,,1000,500,autonomy,500,1000,200,survival,500,1000,800,survival,700,1000,200,survival,300,1000,800,decency,800,1000,200,survival,200,1000,800,belonging,900,1000,200,survival,100,1000,800,autonomy,,1000,200,decency,,1000,800,decency,400,1000,200,decency,600,1000,800,belonging,700,1000,200,decency,300,1000,800,autonomy,,1000,200,belonging,,1000,800,belonging,700,1000,200,belonging,300,1000,800,autonomy,,1000,200,autonomy,,1000,800,autonomy,4,1,2,42,1,0,0,0,0,0,0,1000,0,0,3,3,0,1,0,3,1
6,0,0,2000,65,0,1,1 3 8 6 2 4 5,5 8 6 3 1 4 2,4 2 3 1,"1,1 1,2 1,3 1,4 2,2 2,3 2,4 3,3 3,4 4,4",,1000,500,survival,,1000,500,survival,600,1000,500,survival,400,1000,500,decency,700,1000,500,survival,300,1000,500,belonging,450,1000,500,survival,550,1000,500,autonomy,500,1000,500,decency,500,1000,500,decency,600,1000,500,decency,400,1000,500,belonging,600,1000,500,decency,400,1000,500,autonomy,,1000,500,belonging,,1000,500,belonging,400,1000,500,belonging,600,1000,500,autonomy,,1000,500,autonomy,,1000,500,autonomy,,1000,200,survival,,1000,800,survival,600,1000,200,survival,400,1000,800,decency,400,1000,200,survival,600,1000,800,belonging,600,1000,200,survival,400,1000,800,autonomy,450,1000,200,decency,550,1000,800,decency,400,1000,200,decency,600,1000,800,belonging,450,1000,200,decency,550,1000,800,autonomy,,1000,200,belonging,,1000,800,belonging,300,1000,200,belonging,700,1000,800,autonomy,,1000,200,autonomy,,1000,800,autonomy,4,3,4,42,1,0,1,0,0,0,0,1000,1,0,5,7,0,1,0,3,2
7,0,0,1750,69,1,0,2 5 1 4 6 8 3,5 2 4 8 3 1 6,2 1 3 4,"1,1 1,2 1,3 1,4 2,2 2,3 2,4 3,3 3,4 4,4",,1000,500,survival,,1000,500,survival,,1000,500,survival,,1000,500,decency,500,1000,500,survival,500,1000,500,belonging,,1000,500,survival,,1000,500,autonomy,,1000,500,decency,,1000,500,decency,0,1000,500,decency,0,1000,500,belonging,,1000,500,decency,,1000,500,autonomy,,1000,500,belonging,,1000,500,belonging,,1000,500,belonging,,1000,500,autonomy,,1000,500,autonomy,,1000,500,autonomy,,1000,200,survival,,1000,800,survival,,1000,200,survival,,1000,800,decency,,1000,200,survival,,1000,800,belonging,,1000,200,survival,,1000,800,autonomy,,1000,200,decency,,1000,800,decency,,1000,200,decency,,1000,800,belonging,,1000,200,decency,,1000,800,autonomy,,1000,200,belonging,,1000,800,belonging,,1000,200,belonging,,1000,800,autonomy,,1000,200,autonomy,,1000,800,autonomy,,,,.,,,,,,,,,0,0,,,1,0,0,3,2
8,0,0,2600,27,0,0,2 6 5 3 1 8 4,6 8 5 3 4 1 2,3 1 4 2,"1,1 1,2 1,3 1,4 2,2 2,3 2,4 3,3 3,4 4,4",,1000,500,survival,,1000,500,survival,500,1000,500,survival,500,1000,500,decency,500,1000,500,survival,500,1000,500,belonging,500,1000,500,survival,500,1000,500,autonomy,500,1000,500,decency,500,1000,500,decency,500,1000,500,decency,500,1000,500,belonging,500,1000,500,decency,500,1000,500,autonomy,,1000,500,belonging,,1000,500,belonging,500,1000,500,belonging,500,1000,500,autonomy,,1000,500,autonomy,,1000,500,autonomy,,1000,200,survival,,1000,800,survival,500,1000,200,survival,500,1000,800,decency,500,1000,200,survival,500,1000,800,belonging,500,1000,200,survival,500,1000,800,autonomy,500,1000,200,decency,500,1000,800,decency,500,1000,200,decency,500,1000,800,belonging,500,1000,200,decency,500,1000,800,autonomy,,1000,200,belonging,,1000,800,belonging,500,1000,200,belonging,500,1000,800,autonomy,,1000,200,autonomy,,1000,800,autonomy,4,4,7,42,1,1,1,0,1,1,1,1000,1,0,,3,0,1,0,4,1
9,0,0,1890,48,1,0,2 5 9 6 8 1 3,1 3 6 8 9 5 2,2 1 3 4,"1,1 1,2 1,3 1,4 2,2 2,3 2,4 3,3 3,4 4,4",,1000,500,survival,,1000,500,survival,,1000,500,survival,,1000,500,decency,,1000,500,survival,,1000,500,belonging,,1000,500,survival,,1000,500,autonomy,,1000,500,decency,,1000,500,decency,,1000,500,decency,,1000,500,belonging,,1000,500,decency,,1000,500,autonomy,,1000,500,belonging,,1000,500,belonging,,1000,500,belonging,,1000,500,autonomy,,1000,500,autonomy,,1000,500,autonomy,,1000,200,survival,,1000,800,survival,,1000,200,survival,,1000,800,decency,,1000,200,survival,,1000,800,belonging,,1000,200,survival,,1000,800,autonomy,,1000,200,decency,,1000,800,decency,,1000,200,decency,,1000,800,belonging,,1000,200,decency,,1000,800,autonomy,,1000,200,belonging,,1000,800,belonging,,1000,200,belonging,,1000,800,autonomy,,1000,200,autonomy,,1000,800,autonomy,,,,.,,,,,,,,,0,0,,,1,0,0,3,2
10,0,0,5000,56,1,0,9 5 6 3 8 1 2,5 1 3 6 8 2 9,1 3 2 4,"1,1 1,2 1,3 1,4 2,2 2,3 2,4 3,3 3,4 4,4",,1000,500,survival,,1000,500,survival,600,1000,500,survival,400,1000,500,decency,800,1000,500,survival,200,1000,500,belonging,800,1000,500,survival,200,1000,500,autonomy,,1000,500,decency,,1000,500,decency,700,1000,500,decency,300,1000,500,belonging,700,1000,500,decency,300,1000,500,autonomy,,1000,500,belonging,,1000,500,belonging,500,1000,500,belonging,500,1000,500,autonomy,500,1000,500,autonomy,500,1000,500,autonomy,,1000,200,survival,,1000,800,survival,800,1000,200,survival,200,1000,800,decency,800,1000,200,survival,200,1000,800,belonging,800,1000,200,survival,200,1000,800,autonomy,,1000,200,decency,,1000,800,decency,700,1000,200,decency,300,1000,800,belonging,700,1000,200,decency,300,1000,800,autonomy,,1000,200,belonging,,1000,800,belonging,500,1000,200,belonging,500,1000,800,autonomy,350,1000,200,autonomy,650,1000,800,autonomy,6,2,5,42,1,0,0,0,0,0,0,1000,0,0,3,2,0,1,0,3,2
